"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"1981-030X","19&20 (RIO DE JANEIRO)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","C"
"2236-6695","A BARRIGUDA: REVISTA CIENTIFICA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1413-6090","A ECONOMIA EM REVISTA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1516-3210","A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"0001-3072","ABACUS (SYDNEY. PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"0102-6720","ABCD : ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"2318-4965","ABCS HEALTH SCIENCES","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2357-8114","ABCS HEALTH SCIENCES","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1980-4814","ABCUSTOS (SAO LEOPOLDO, RS)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1012-8255","ACADEMIA (CARACAS)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"1042-9670","ACADEMIC PSYCHIATRY","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"0001-4273","ACADEMY OF MANAGEMENT JOURNAL","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1537-260X","ACADEMY OF MANAGEMENT LEARNING & EDUCATION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"2358-6559","ACANTO EM REVISTA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"0001-4575","ACCIDENT ANALYSIS AND PREVENTION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1368-0668","ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
